Label,Soluble solids (Brix),Pulp firmness (N),pH,Ascorbic acid (mg/100?g),Carotenoids (?g/g),L*,a*,b*,c,h
MS1,7.30,92.85,5.78,,,44.92,-10.06,27.45,29.23,110.10
MS1,6.93,93.56,5.75,,,54.34,-7.70,37.24,38.18,102.03
MS1,9.20,24.58,5.63,,10.97,53.28,-7.56,39.53,38.77,101.25
MS1,12.07,43.17,5.60,89.05,19.51,58.17,-7.09,43.43,44.00,99.30
MS1,9.93,7.14,5.75,64.59,14.57,58.86,-2.46,45.96,46.07,93.34
MS1,11.00,58.08,5.90,59.37,17.79,57.06,-5.01,38.41,38.77,97.36
MS1,12.97,28.03,5.89,84.05,12.11,55.24,-3.62,36.13,36.37,95.66
MS1,11.77,51.16,5.91,108.03,11.48,55.46,-3.88,33.81,34.05,96.76
MS1,13.33,7.30,5.95,77.57,14.06,58.05,-3.19,37.28,37.46,94.98
MS1,11.50,6.93,5.89,94.27,16.85,57.49,-7.00,37.75,38.58,101.93
MS1,12.77,9.20,5.82,117.58,19.96,54.36,-1.55,38.18,38.22,92.41
MS1,12.67,12.07,5.82,100.81,18.24,58.06,-1.54,40.20,40.28,92.29
MS1,13.30,9.93,5.66,93.09,19.87,58.40,-3.01,42.84,42.95,94.13
MS1,12.60,11.00,5.58,73.32,16.33,57.50,-2.84,40.23,40.34,94.13
MS1,11.17,12.97,5.86,93.46,9.68,55.07,-4.45,40.86,41.15,96.18
MS1,12.97,11.77,5.87,130.67,17.00,60.00,-2.96,43.69,43.91,94.15
MS1,12.97,13.33,6.01,102.94,19.37,58.27,-4.01,41.39,41.59,95.51
MS1,10.70,11.50,5.93,112.04,14.11,52.82,-8.06,39.40,40.24,101.73
MS1,9.95,12.77,5.95,113.94,13.46,55.75,-4.18,43.11,43.42,95.79
MS1,12.13,12.67,5.88,140.52,23.03,58.32,-1.25,39.84,40.14,92.64
MS1,10.53,13.30,5.76,97.78,9.18,53.66,-6.70,38.89,39.47,99.71
MS1,10.07,12.60,5.6,92.82,13.14,53.70,-6.78,39.29,39.92,99.82
MS1,13.20,11.17,5.93,115.19,22.05,56.67,-3.04,37.99,38.18,94.90
MS1,13.23,12.97,5.96,95.49,18.22,55.22,-5.23,39.32,39.75,97.80
MS1,12.70,12.97,5.82,70.22,22.46,59.68,-3.17,44.92,45.04,94.00
MS1,13.05,10.70,5.67,86.11,15.44,54.01,-5.71,41.83,42.21,97.77
MS1,13.33,9.95,5.70,102.07,17.25,54.91,-5.68,41.76,42.14,97.77
MS1,13.93,12.13,5.91,120.53,20.09,55.11,-5.99,33.74,34.29,100.16
MS1,12.93,10.53,5.94,79.56,21.25,56.46,-4.65,38.32,38.70,97.29
MS1,11.03,10.07,5.87,103.26,14.36,52.79,-5.18,38.35,38.72,97.58
MS1,11.00,13.20,5.62,104.85,12.35,59.15,-4.95,43.00,43.29,96.65
MS2,13.00,13.23,5.84,59.37,17.79,63.65,4.60,43.78,44.16,84.23
MS2,12.23,12.70,5.75,63.08,17.74,60.46,3.84,44.34,44.56,85.04
MS2,11.57,13.05,5.98,106.59,13.24,61.83,4.25,44.77,45.06,84.85
MS2,13.00,13.33,5.98,128.73,18.45,54.95,2.66,38.21,38.37,85.72
MS2,12.37,13.93,5.76,116.31,19.83,62.75,4.26,44.13,44.37,84.27
MS2,12.83,12.93,5.83,108.69,12.13,57.97,-0.18,48.53,48.55,90.20
MS2,13.75,11.03,5.96,53.39,28.94,64.45,4.81,48.63,49.05,84.65
MS2,13.43,11.00,5.67,88.06,17.58,60.98,2.05,48.62,48.81,87.79
MS2,11.83,10.83,5.75,92.18,11.59,61.38,1.29,51.44,51.58,89.17
MS2,11.10,13.86,5.62,100.49,14.10,58.96,-3.35,45.61,45.77,94.44
MS2,13.05,23.42,5.67,94.37,18.78,56.32,-1.80,40.49,40.66,93.33
MS2,13.13,33.01,5.73,102.44,19.20,62.88,-1.57,42.63,42.67,92.12
MS2,12.90,25.60,5.79,101.02,13.16,58.01,0.09,39.27,39.29,90.19
MS2,11.47,81.65,6.04,98.98,20.69,60.20,-3.83,43.78,44.00,95.22
MS2,12.55,24.89,5.97,105.55,17.06,62.31,3.49,49.28,49.63,86.32
MS2,12.47,28.90,5.90,104.14,18.81,65.13,0.87,47.31,47.34,88.96
MS2,12.80,30.33,5.92,102.93,26.95,60.55,-2.30,42.00,42.09,93.15
MS2,8.40,35.08,5.59,86.06,6.54,62.28,1.43,51.24,51.30,88.49
MS2,11.15,4.37,5.56,106.86,14.27,62.68,3.03,49.74,49.96,86.73
MS3,10.60,17.81,5.63,,,66.26,7.55,55.12,55.65,82.17
MS3,13.40,19.19,5.67,,15.59,58.86,-2.46,46.07,45.96,93.34
MS3,11.63,11.57,5.90,,19.51,55.44,8.29,46.91,46.13,79.92
MS3,10.10,3.88,5.75,64.59,14.57,58.35,10.40,49.20,50.30,78.01
MS3,12.07,3.99,5.78,131.09,14.88,62.00,0.98,47.24,47.29,88.60
MS3,13.08,4.99,5.73,139.98,15.20,62.98,4.10,49.58,49.85,85.24
MS3,12.10,9.36,5.79,102.13,19.04,59.24,-1.71,42.53,42.59,92.36
MS3,13.00,9.83,5.86,122.93,21.78,64.27,2.58,49.50,49.61,87.10
MS3,12.97,1.92,5.80,84.91,11.29,62.75,4.64,53.57,53.82,84.78
MS3,13.40,25.21,5.92,121.93,26.95,68.58,3.76,50.79,50.95,85.81
MS3,11.50,16.05,5.91,,13.40,62.58,-0.08,48.47,48.52,90.22
MS3,10.53,9.49,5.87,,16.10,64.49,0.19,53.67,53.68,89.87
MS3,11.33,10.99,5.85,,15.34,67.16,3.84,54.12,54.35,86.31
MS3,12.25,8.95,5.75,85.62,14.44,58.85,1.59,43.69,43.84,88.36
MS3,10.90,1.31,5.69,90.81,14.19,63.08,3.73,50.54,50.69,85.81
MS3,8.55,7.34,5.56,66.78,7.38,66.60,3.00,53.20,53.28,86.78